;;;;;;;Playing Time;;;;Performance;;;;;;;;Expected;;;;Progression;;;Per 90 Minutes;;;;;;;;;;
Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches
41;Amari'i Bell;jm JAM;DF;Luton Town;29-180;1994;7;7;560;6.2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.03;0.00;0.05;0.97;3.23;0.48;0.00;0.00;0.00;0.00;0.00;0.04;0.00;0.04;0.04;0.04;Matches
42;Jean-Ricner Bellegarde;fr FRA;MF;Wolves;25-127;1998;2;2;114;1.3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.77;0.00;0.00;0.00;0.08;4.62;3.85;1.54;0.00;0.00;0.00;0.00;0.00;0.03;0.02;0.05;0.03;0.05;Matches
43;Anis Ben Slimane;tn TUN;MF;Sheffield Utd;22-230;2001;4;1;106;1.2;0.00;0.00;0.00;0.00;0.00;0.00;1.67;0.00;0.08;0.08;0.00;0.08;0.00;5.00;6.67;0.00;0.00;0.00;0.00;0.00;0.10;0.00;0.10;0.10;0.10;Matches
44;Saïd Benrahma;dz ALG;FW,MF;West Ham;28-083;1995;8;3;373;4.1;0.00;0.24;0.24;0.00;0.00;0.00;0.24;0.00;0.12;0.12;0.22;0.34;5.37;4.15;12.4;0.00;0.24;0.24;0.00;0.24;0.12;0.22;0.34;0.12;0.34;Matches
45;Rodrigo Bentancur;uy URU;FW;Tottenham;26-129;1997;1;0;1;0.0;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;0;0;0;0.00;0.00;0.00;0.00;0.00;6.05;0.00;6.05;6.05;6.05;Matches
46;Jóhann Berg Guðmundsson;is ISL;MF,FW;Burnley;33-005;1990;5;4;251;2.8;0.00;0.36;0.36;0.00;0.00;0.00;0.36;0.00;0.00;0.00;0.14;0.14;1.07;5.36;5.36;0.00;0.36;0.36;0.00;0.36;0.00;0.16;0.16;0.00;0.16;Matches
47;Sander Berge;no NOR;MF;Burnley;25-260;1998;10;7;610;6.8;0.00;0.15;0.15;0.00;0.00;0.00;0.29;0.00;0.13;0.13;0.09;0.22;1.32;2.79;2.35;0.00;0.15;0.15;0.00;0.15;0.13;0.09;0.22;0.13;0.22;Matches
48;Luke Berry;eng ENG;MF;Luton Town;31-112;1992;2;0;28;0.3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
49;Beto;gw GNB;FW;Everton;25-274;1998;6;3;286;3.2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.47;0.47;0.09;0.56;1.56;2.19;5.94;0.00;0.00;0.00;0.00;0.00;0.47;0.09;0.55;0.47;0.55;Matches
50;Jordan Beyer;de GER;DF;Burnley;23-166;2000;6;6;502;5.6;0.00;0.00;0.00;0.00;0.00;0.00;0.54;0.00;0.00;0.00;0.00;0.00;0.71;0.89;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
51;Philip Billing;dk DEN;MF;Bournemouth;27-143;1996;10;10;861;9.6;0.10;0.10;0.21;0.10;0.00;0.00;0.10;0.00;0.16;0.16;0.10;0.26;1.25;3.13;2.50;0.10;0.10;0.21;0.10;0.21;0.16;0.10;0.26;0.16;0.26;Matches
52;Yves Bissouma;ml MLI;MF;Tottenham;27-063;1996;9;9;719;8.0;0.00;0.00;0.00;0.00;0.00;0.00;0.75;0.13;0.11;0.11;0.04;0.14;3.13;8.00;0.63;0.00;0.00;0.00;0.00;0.00;0.11;0.03;0.14;0.11;0.14;Matches
53;Oscar Bobb;no NOR;MF,FW;Manchester City;20-112;2003;3;0;47;0.5;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.20;0.20;6.00;10.0;4.00;0.00;0.00;0.00;0.00;0.00;0.00;0.12;0.12;0.00;0.12;Matches
54;Jayden Bogle;eng ENG;DF;Sheffield Utd;23-097;2000;7;6;478;5.3;0.19;0.00;0.19;0.19;0.00;0.00;0.19;0.00;0.11;0.11;0.06;0.17;0.75;1.13;2.26;0.19;0.00;0.19;0.19;0.19;0.11;0.06;0.17;0.11;0.17;Matches
55;Willy Boly;ci CIV;DF;Nott'ham Forest;32-271;1991;9;9;753;8.4;0.12;0.00;0.12;0.12;0.00;0.00;0.12;0.00;0.13;0.13;0.11;0.23;0.24;2.02;0.12;0.12;0.00;0.12;0.12;0.12;0.13;0.10;0.23;0.13;0.23;Matches
56;Sven Botman;nl NED;DF;Newcastle Utd;23-293;2000;5;5;446;5.0;0.20;0.20;0.40;0.20;0.00;0.00;0.20;0.00;0.06;0.06;0.14;0.20;0.00;1.80;0.40;0.20;0.20;0.40;0.20;0.40;0.06;0.14;0.20;0.06;0.20;Matches
57;Jarrod Bowen;eng ENG;FW;West Ham;26-316;1996;10;10;899;10.0;0.60;0.10;0.70;0.60;0.00;0.00;0.10;0.00;0.41;0.41;0.10;0.50;2.40;1.50;5.20;0.60;0.10;0.70;0.60;0.70;0.41;0.10;0.50;0.41;0.50;Matches
58;Jarrad Branthwaite;eng ENG;DF;Everton;21-127;2002;8;8;720;8.0;0.00;0.00;0.00;0.00;0.00;0.00;0.38;0.00;0.03;0.03;0.01;0.04;0.00;2.25;0.13;0.00;0.00;0.00;0.00;0.00;0.03;0.01;0.04;0.03;0.04;Matches
59;Rhian Brewster;eng ENG;FW;Sheffield Utd;23-214;2000;4;1;121;1.3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.08;0.08;0.77;0.77;6.15;0.00;0.00;0.00;0.00;0.00;0.02;0.04;0.07;0.02;0.07;Matches
60;Armando Broja;al ALB;FW;Chelsea;22-052;2001;3;2;121;1.3;0.77;0.00;0.77;0.77;0.00;0.00;0.00;0.00;0.38;0.38;0.00;0.38;3.08;1.54;6.92;0.74;0.00;0.74;0.74;0.74;0.40;0.00;0.40;0.40;0.40;Matches
61;Andre Brooks;eng ENG;MF,FW;Sheffield Utd;20-073;2003;2;0;21;0.2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
62;David Brooks;wls WAL;FW,MF;Bournemouth;26-116;1997;8;2;229;2.5;0.40;0.00;0.40;0.40;0.00;0.00;0.40;0.00;0.60;0.60;0.24;0.84;2.00;6.40;7.20;0.39;0.00;0.39;0.39;0.39;0.58;0.23;0.81;0.58;0.81;Matches
63;Jacob Brown;sct SCO;FW,MF;Luton Town;25-205;1998;10;7;563;6.3;0.00;0.00;0.00;0.00;0.00;0.00;0.32;0.00;0.30;0.30;0.10;0.40;2.22;1.27;4.92;0.00;0.00;0.00;0.00;0.00;0.30;0.09;0.39;0.30;0.39;Matches
64;Josh Brownhill;eng ENG;MF;Burnley;27-317;1995;9;6;606;6.7;0.15;0.00;0.15;0.15;0.00;0.00;0.15;0.00;0.07;0.07;0.10;0.18;0.90;2.69;1.94;0.15;0.00;0.15;0.15;0.15;0.07;0.11;0.18;0.07;0.18;Matches
65;Jacob Bruun Larsen;dk DEN;FW,MF;Burnley;25-043;1998;9;0;179;2.0;0.50;0.00;0.50;0.50;0.00;0.00;0.00;0.00;0.25;0.25;0.05;0.30;5.00;2.00;11.5;0.50;0.00;0.50;0.50;0.50;0.23;0.07;0.29;0.23;0.29;Matches
66;Hugo Bueno;es ESP;DF;Wolves;21-044;2002;6;1;145;1.6;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.13;0.13;0.06;0.19;4.38;1.88;8.13;0.00;0.00;0.00;0.00;0.00;0.11;0.07;0.19;0.11;0.19;Matches
