;;;;;;;Playing Time;;;;Performance;;;;;;;;Expected;;;;Progression;;;Per 90 Minutes;;;;;;;;;;
Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches
272;Oliver McBurnie;sct SCO;FW;Sheffield Utd;27-150;1996;6;5;430;4.8;0.21;0.21;0.42;0.00;0.21;0.21;0.63;0.21;0.38;0.23;0.13;0.35;0.42;2.08;5.00;0.21;0.21;0.42;0.00;0.21;0.39;0.13;0.52;0.22;0.35;Matches
273;John McGinn;sct SCO;MF,FW;Aston Villa;29-014;1994;10;10;837;9.3;0.22;0.22;0.43;0.22;0.00;0.00;0.22;0.00;0.14;0.14;0.13;0.27;1.29;5.48;3.01;0.22;0.22;0.43;0.22;0.43;0.14;0.13;0.27;0.14;0.27;Matches
274;Scott McKenna;sct SCO;DF;Nott'ham Forest;26-354;1996;5;5;416;4.6;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.04;0.04;0.04;0.09;0.22;2.17;0.00;0.00;0.00;0.00;0.00;0.00;0.05;0.04;0.08;0.05;0.08;Matches
275;Dwight McNeil;eng ENG;MF,FW;Everton;23-344;1999;7;6;501;5.6;0.00;0.18;0.18;0.00;0.00;0.00;0.00;0.00;0.13;0.13;0.36;0.46;3.93;2.50;4.46;0.00;0.18;0.18;0.00;0.18;0.12;0.35;0.47;0.12;0.47;Matches
276;Scott McTominay;sct SCO;MF;Manchester Utd;26-328;1996;7;4;339;3.8;0.79;0.00;0.79;0.79;0.00;0.00;0.00;0.00;0.18;0.18;0.00;0.21;1.32;2.11;2.11;0.80;0.00;0.80;0.80;0.80;0.20;0.01;0.21;0.20;0.21;Matches
277;Ben Mee;eng ENG;DF;Brentford;34-041;1989;2;2;151;1.7;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.06;0.06;0.59;3.53;0.59;0.00;0.00;0.00;0.00;0.00;0.00;0.07;0.07;0.00;0.07;Matches
278;Hannibal Mejbri;tn TUN;MF;Manchester Utd;20-284;2003;2;1;117;1.3;0.77;0.00;0.77;0.77;0.00;0.00;0.77;0.00;0.00;0.00;0.31;0.31;1.54;4.62;6.15;0.77;0.00;0.77;0.77;0.77;0.02;0.29;0.31;0.02;0.31;Matches
279;Teden Mengi;eng ENG;DF;Luton Town;21-185;2002;5;3;337;3.7;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.03;0.00;0.03;0.27;2.97;0.00;0.00;0.00;0.00;0.00;0.00;0.02;0.00;0.02;0.02;0.02;Matches
280;Chris Mepham;wls WAL;DF;Bournemouth;25-361;1997;3;1;125;1.4;0.00;0.00;0.00;0.00;0.00;0.00;0.71;0.00;0.07;0.07;0.00;0.07;0.71;2.86;0.00;0.00;0.00;0.00;0.00;0.00;0.06;0.01;0.08;0.06;0.08;Matches
281;James Milner;eng ENG;DF;Brighton;37-301;1986;6;4;274;3.0;0.00;0.00;0.00;0.00;0.00;0.00;0.67;0.00;0.00;0.00;0.03;0.03;0.67;6.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.04;0.04;0.00;0.04;Matches
282;Tyrone Mings;eng ENG;DF;Aston Villa;30-233;1993;1;1;30;0.3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.02;0.07;0.09;0.02;0.09;Matches
283;Tyrick Mitchell;eng ENG;DF;Crystal Palace;24-061;1999;10;10;879;9.8;0.00;0.10;0.10;0.00;0.00;0.00;0.20;0.00;0.01;0.01;0.07;0.08;0.71;2.55;5.00;0.00;0.10;0.10;0.00;0.10;0.01;0.07;0.08;0.01;0.08;Matches
284;Kaoru Mitoma;jp JPN;FW,DF;Brighton;26-165;1997;10;9;845;9.4;0.32;0.32;0.64;0.32;0.00;0.00;0.32;0.00;0.27;0.27;0.18;0.45;6.91;2.66;11.8;0.32;0.32;0.64;0.32;0.64;0.26;0.18;0.44;0.26;0.44;Matches
285;Aleksandar Mitrovi?;rs SRB;FW;Fulham;29-046;1994;1;0;33;0.4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.50;0.50;0.00;0.50;0.00;2.50;0.00;0.00;0.00;0.00;0.00;0.00;0.44;0.00;0.44;0.44;0.44;Matches
286;Kudus Mohammed;gh GHA;MF,FW;West Ham;23-091;2000;7;1;190;2.1;0.48;0.00;0.48;0.48;0.00;0.00;0.48;0.00;0.05;0.05;0.00;0.05;4.29;3.81;8.57;0.47;0.00;0.47;0.47;0.47;0.04;0.02;0.05;0.04;0.05;Matches
287;Gonzalo Montiel;ar ARG;DF;Nott'ham Forest;26-304;1997;4;1;168;1.9;0.00;0.00;0.00;0.00;0.00;0.00;1.05;0.00;0.05;0.05;0.05;0.11;2.11;4.74;3.68;0.00;0.00;0.00;0.00;0.00;0.05;0.06;0.11;0.05;0.11;Matches
288;Kieffer Moore;wls WAL;FW,MF;Bournemouth;31-085;1992;5;0;88;1.0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.50;0.50;0.20;0.70;1.00;3.00;13.0;0.00;0.00;0.00;0.00;0.00;0.50;0.22;0.72;0.50;0.72;Matches
289;Carlton Morris;eng ENG;FW;Luton Town;27-320;1995;10;10;845;9.4;0.32;0.11;0.43;0.11;0.21;0.21;0.11;0.00;0.37;0.20;0.04;0.24;0.96;2.87;5.53;0.32;0.11;0.43;0.11;0.21;0.37;0.04;0.41;0.20;0.24;Matches
290;Mason Mount;eng ENG;MF;Manchester Utd;24-295;1999;6;4;337;3.7;0.00;0.00;0.00;0.00;0.00;0.00;0.27;0.00;0.05;0.05;0.05;0.11;1.35;2.97;5.68;0.00;0.00;0.00;0.00;0.00;0.05;0.05;0.10;0.05;0.10;Matches
291;Mykhailo Mudryk;ua UKR;FW,DF;Chelsea;22-300;2001;8;4;309;3.4;0.59;0.00;0.59;0.59;0.00;0.00;0.29;0.00;0.21;0.21;0.24;0.47;4.71;1.76;6.47;0.58;0.00;0.58;0.58;0.58;0.21;0.24;0.46;0.21;0.46;Matches
292;Rodrigo Muniz;br BRA;FW;Fulham;22-181;2001;4;0;61;0.7;0.00;0.00;0.00;0.00;0.00;0.00;1.43;0.00;0.43;0.43;0.29;0.86;0.00;1.43;1.43;0.00;0.00;0.00;0.00;0.00;0.45;0.37;0.82;0.45;0.82;Matches
293;Murillo;br BRA;DF;Nott'ham Forest;21-120;2002;4;4;360;4.0;0.00;0.00;0.00;0.00;0.00;0.00;0.25;0.00;0.15;0.15;0.03;0.17;1.75;3.50;0.00;0.00;0.00;0.00;0.00;0.00;0.14;0.03;0.17;0.14;0.17;Matches
294;Jacob Murphy;eng ENG;FW;Newcastle Utd;28-250;1995;4;1;105;1.2;0.83;2.50;3.33;0.83;0.00;0.00;0.00;0.00;0.00;0.00;1.17;1.25;5.00;8.33;10.0;0.86;2.57;3.43;0.86;3.43;0.04;1.21;1.26;0.04;1.26;Matches
295;Vitaliy Mykolenko;ua UKR;DF;Everton;24-156;1999;6;6;537;6.0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.03;0.05;0.08;0.33;1.83;1.83;0.00;0.00;0.00;0.00;0.00;0.03;0.05;0.08;0.03;0.08;Matches
296;Marvelous Nakamba;zw ZIM;MF;Luton Town;29-286;1994;10;10;885;9.8;0.00;0.00;0.00;0.00;0.00;0.00;0.31;0.00;0.02;0.02;0.04;0.06;0.00;3.27;0.41;0.00;0.00;0.00;0.00;0.00;0.02;0.04;0.06;0.02;0.06;Matches
297;Reiss Nelson;eng ENG;FW;Arsenal;23-326;1999;4;0;55;0.6;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.83;0.83;3.33;0.00;10.0;0.00;0.00;0.00;0.00;0.00;0.04;0.76;0.80;0.04;0.80;Matches
298;Neto;br BRA;GK;Bournemouth;34-105;1989;9;9;810;9.0;0.00;0.00;0.00;0.00;0.00;0.00;0.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
299;Pedro Neto;pt POR;MF,FW;Wolves;23-237;2000;10;10;886;9.8;0.10;0.71;0.82;0.10;0.00;0.00;0.31;0.00;0.23;0.23;0.28;0.52;5.20;3.16;8.27;0.10;0.71;0.81;0.10;0.81;0.24;0.28;0.51;0.24;0.51;Matches
300;Moussa Niakhate;sn SEN;DF;Nott'ham Forest;27-238;1996;5;3;270;3.0;0.00;0.00;0.00;0.00;0.00;0.00;0.67;0.33;0.00;0.00;0.00;0.00;0.33;3.33;0.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
301;Eddie Nketiah;eng ENG;FW;Arsenal;24-155;1999;10;8;681;7.6;0.66;0.00;0.66;0.66;0.00;0.00;0.26;0.00;0.38;0.38;0.03;0.41;1.71;1.32;5.13;0.66;0.00;0.66;0.66;0.66;0.39;0.02;0.41;0.39;0.41;Matches
302;Oliver Norwood;nir NIR;MF;Sheffield Utd;32-203;1991;9;8;701;7.8;0.00;0.00;0.00;0.00;0.00;0.00;0.38;0.00;0.01;0.01;0.05;0.06;0.00;3.72;0.64;0.00;0.00;0.00;0.00;0.00;0.02;0.05;0.07;0.02;0.07;Matches
303;Matheus Nunes;pt POR;MF;Wolves;25-066;1998;2;2;179;2.0;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.50;0.05;0.05;0.05;0.10;3.50;4.00;4.50;0.00;0.00;0.00;0.00;0.00;0.04;0.05;0.09;0.04;0.09;Matches
304;Matheus Nunes;pt POR;MF;Manchester City;25-066;1998;4;2;182;2.0;0.00;0.50;0.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.05;0.05;2.00;3.00;7.00;0.00;0.49;0.49;0.00;0.49;0.00;0.07;0.07;0.00;0.07;Matches
305;Darwin Núñez;uy URU;FW;Liverpool;24-130;1999;9;4;421;4.7;0.85;0.64;1.49;0.85;0.00;0.00;0.21;0.00;0.83;0.83;0.32;1.15;2.55;3.62;7.87;0.86;0.64;1.50;0.86;1.50;0.84;0.32;1.15;0.84;1.15;Matches
306;Christian Nørgaard;dk DEN;MF;Brentford;29-236;1994;10;10;850;9.4;0.11;0.11;0.21;0.11;0.00;0.00;0.32;0.00;0.17;0.17;0.09;0.26;0.21;6.06;1.81;0.11;0.11;0.21;0.11;0.21;0.16;0.09;0.25;0.16;0.25;Matches
307;Dara O'Shea;ie IRL;DF;Burnley;24-242;1999;6;5;495;5.5;0.00;0.18;0.18;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.02;0.91;3.64;0.18;0.00;0.18;0.18;0.00;0.18;0.01;0.01;0.01;0.01;0.01;Matches
308;Wilson Odobert;fr FRA;FW;Burnley;18-338;2004;3;2;147;1.6;0.63;0.00;0.63;0.63;0.00;0.00;0.63;0.00;0.19;0.19;0.25;0.44;5.00;0.00;5.00;0.61;0.00;0.61;0.61;0.61;0.15;0.26;0.42;0.15;0.42;Matches
309;Chiedozie Ogbene;ie IRL;MF,FW;Luton Town;26-184;1997;10;6;599;6.7;0.15;0.00;0.15;0.15;0.00;0.00;0.00;0.00;0.12;0.12;0.12;0.24;5.97;1.79;6.12;0.15;0.00;0.15;0.15;0.15;0.12;0.12;0.25;0.12;0.25;Matches
310;Angelo Ogbonna;it ITA;DF;West Ham;35-162;1988;2;1;112;1.2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.83;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
311;Michael Olakigbe;eng ENG;FW,MF;Brentford;19-190;2004;4;0;16;0.2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.50;0.50;0.00;0.50;30.0;15.0;50.0;0.00;0.00;0.00;0.00;0.00;0.57;0.00;0.57;0.57;0.57;Matches
312;Robin Olsen;se SWE;GK;Aston Villa;33-297;1990;1;1;90;1.0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
313;Amadou Onana;be BEL;MF;Everton;22-077;2001;10;10;875;9.7;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.11;0.11;0.24;0.35;0.93;5.05;2.58;0.00;0.00;0.00;0.00;0.00;0.11;0.24;0.35;0.11;0.35;Matches
314;André Onana;cm CMR;GK;Manchester Utd;27-213;1996;10;10;900;10.0;0.00;0.00;0.00;0.00;0.00;0.00;0.30;0.00;0.00;0.00;0.00;0.00;0.10;0.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
315;Ryan One;sct SCO;FW;Sheffield Utd;17-128;2006;1;0;8;0.1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
316;Tyler Onyango;eng ENG;MF;Everton;20-242;2003;1;0;1;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
317;Frank Onyeka;ng NGA;MF;Brentford;25-304;1998;8;1;242;2.7;0.00;0.00;0.00;0.00;0.00;0.00;1.11;0.00;0.19;0.19;0.33;0.52;1.11;3.70;7.04;0.00;0.00;0.00;0.00;0.00;0.17;0.34;0.51;0.17;0.51;Matches
318;Divock Origi;be BEL;FW,MF;Nott'ham Forest;28-197;1995;4;0;62;0.7;0.00;0.00;0.00;0.00;0.00;0.00;1.43;0.00;0.14;0.14;0.29;0.43;1.43;0.00;2.86;0.00;0.00;0.00;0.00;0.00;0.09;0.33;0.42;0.09;0.42;Matches
319;Stefan Ortega;de GER;GK;Manchester City;30-360;1992;1;1;90;1.0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
320;Ben Osborn;eng ENG;DF,FW;Sheffield Utd;29-088;1994;5;3;237;2.6;0.00;0.00;0.00;0.00;0.00;0.00;0.77;0.00;0.04;0.04;0.00;0.04;0.77;3.08;3.85;0.00;0.00;0.00;0.00;0.00;0.05;0.01;0.05;0.05;0.05;Matches
321;Gabriel Osho;eng ENG;DF;Luton Town;25-079;1998;1;1;56;0.6;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
322;William Osula;dk DEN;FW;Sheffield Utd;20-089;2003;3;3;233;2.6;0.00;0.00;0.00;0.00;0.00;0.00;0.77;0.00;0.12;0.12;0.00;0.12;0.77;0.00;3.46;0.00;0.00;0.00;0.00;0.00;0.11;0.00;0.11;0.11;0.11;Matches
323;Dango Ouattara;bf BFA;FW;Bournemouth;21-263;2002;6;2;216;2.4;0.00;0.00;0.00;0.00;0.00;0.00;0.42;0.00;0.17;0.17;0.08;0.21;1.67;1.25;7.08;0.00;0.00;0.00;0.00;0.00;0.15;0.07;0.22;0.15;0.22;Matches
324;David Ozoh;eng ENG;MF;Crystal Palace;18-154;2005;1;0;4;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
325;João Palhinha;pt POR;MF;Fulham;28-115;1995;8;7;645;7.2;0.28;0.00;0.28;0.28;0.00;0.00;0.42;0.00;0.07;0.07;0.00;0.08;0.14;3.19;0.14;0.28;0.00;0.28;0.28;0.28;0.07;0.00;0.08;0.07;0.08;Matches
326;Cole Palmer;eng ENG;MF;Manchester City;21-179;2002;1;0;11;0.1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
327;Cole Palmer;eng ENG;FW,MF;Chelsea;21-179;2002;7;4;415;4.6;0.43;0.22;0.65;0.00;0.43;0.43;0.43;0.00;0.61;0.26;0.43;0.67;4.35;8.48;6.30;0.43;0.22;0.65;0.00;0.22;0.60;0.43;1.02;0.26;0.68;Matches
328;Emerson Palmieri;it ITA;DF;West Ham;29-090;1994;9;9;810;9.0;0.00;0.11;0.11;0.00;0.00;0.00;0.56;0.00;0.01;0.01;0.18;0.19;1.67;3.67;3.00;0.00;0.11;0.11;0.00;0.11;0.01;0.18;0.19;0.01;0.19;Matches
329;Lucas Paquetá;br BRA;FW,MF;West Ham;26-066;1997;10;10;882;9.8;0.10;0.10;0.20;0.00;0.10;0.10;0.51;0.00;0.20;0.12;0.16;0.29;1.33;6.33;3.27;0.10;0.10;0.20;0.00;0.10;0.20;0.17;0.37;0.12;0.29;Matches
330;Thomas Partey;gh GHA;DF,MF;Arsenal;30-141;1993;4;3;251;2.8;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.04;0.04;0.04;0.07;3.57;11.8;1.43;0.00;0.00;0.00;0.00;0.00;0.03;0.04;0.06;0.03;0.06;Matches
331;Nathan Patterson;sct SCO;DF;Everton;22-016;2001;9;5;525;5.8;0.00;0.17;0.17;0.00;0.00;0.00;0.17;0.00;0.05;0.05;0.19;0.24;2.07;3.45;3.62;0.00;0.17;0.17;0.00;0.17;0.06;0.18;0.24;0.06;0.24;Matches
332;Facundo Pellistri;uy URU;FW,MF;Manchester Utd;21-316;2001;4;1;86;1.0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.40;0.40;0.00;0.40;4.00;3.00;20.0;0.00;0.00;0.00;0.00;0.00;0.46;0.00;0.46;0.46;0.46;Matches
333;Andreas Pereira;br BRA;MF;Fulham;27-304;1996;10;8;628;7.0;0.14;0.14;0.29;0.14;0.00;0.00;0.29;0.00;0.11;0.11;0.17;0.29;1.29;2.71;3.86;0.14;0.14;0.29;0.14;0.29;0.12;0.17;0.29;0.12;0.29;Matches
334;Ivan Periši?;hr CRO;FW;Tottenham;34-272;1989;5;0;103;1.1;0.00;0.91;0.91;0.00;0.00;0.00;1.82;0.00;0.09;0.09;0.82;0.91;13.6;8.18;15.5;0.00;0.87;0.87;0.00;0.87;0.10;0.75;0.85;0.10;0.85;Matches
335;Kalvin Phillips;eng ENG;MF;Manchester City;27-334;1995;3;0;73;0.8;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.13;0.13;0.00;0.13;7.50;8.75;3.75;0.00;0.00;0.00;0.00;0.00;0.09;0.00;0.09;0.09;0.09;Matches
336;Jaden Philogene Bidace;eng ENG;FW;Aston Villa;21-266;2002;1;0;4;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;2;0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
337;Jordan Pickford;eng ENG;GK;Everton;29-239;1994;10;10;900;10.0;0.00;0.00;0.00;0.00;0.00;0.00;0.20;0.00;0.00;0.00;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.00;0.01;Matches
338;Ethan Pinnock;jm JAM;DF;Brentford;30-156;1993;10;10;900;10.0;0.10;0.00;0.10;0.10;0.00;0.00;0.00;0.00;0.10;0.10;0.09;0.19;0.40;2.90;0.60;0.10;0.00;0.10;0.10;0.10;0.10;0.09;0.19;0.10;0.19;Matches
339;Nick Pope;eng ENG;GK;Newcastle Utd;31-196;1992;10;10;900;10.0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
340;Pedro Porro;es ESP;DF;Tottenham;24-049;1999;9;9;806;9.0;0.00;0.11;0.11;0.00;0.00;0.00;0.11;0.00;0.10;0.10;0.16;0.24;1.33;5.44;4.56;0.00;0.11;0.11;0.00;0.11;0.10;0.15;0.25;0.10;0.25;Matches
341;Jarrell Quansah;eng ENG;DF;Liverpool;20-276;2003;3;1;116;1.3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.54;3.85;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
342;Ionu? Radu;ro ROU;GK;Bournemouth;26-157;1997;1;1;90;1.0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
343;Jesuran Rak Sakyi;eng ENG;MF,FW;Crystal Palace;21-027;2002;6;0;136;1.5;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.27;0.27;0.13;0.40;4.67;1.33;12.0;0.00;0.00;0.00;0.00;0.00;0.28;0.10;0.38;0.28;0.38;Matches
344;Aaron Ramsdale;eng ENG;GK;Arsenal;25-171;1998;4;4;360;4.0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
345;Aaron Ramsey;eng ENG;FW,MF;Burnley;20-284;2003;5;2;207;2.3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.04;0.04;0.17;0.22;2.61;1.74;2.17;0.00;0.00;0.00;0.00;0.00;0.02;0.17;0.20;0.02;0.20;Matches
346;Jacob Ramsey;eng ENG;FW,MF;Aston Villa;22-157;2001;2;0;50;0.6;1.67;0.00;1.67;1.67;0.00;0.00;0.00;0.00;0.33;0.33;0.00;0.33;6.67;3.33;0.00;1.80;0.00;1.80;1.80;1.80;0.34;0.00;0.34;0.34;0.34;Matches
347;Marcus Rashford;eng ENG;FW;Manchester Utd;26-001;1997;10;10;841;9.3;0.11;0.11;0.22;0.11;0.00;0.00;0.11;0.00;0.39;0.39;0.14;0.53;4.52;2.47;9.35;0.11;0.11;0.21;0.11;0.21;0.38;0.14;0.52;0.38;0.52;Matches
348;David Raya;es ESP;GK;Arsenal;28-047;1995;6;6;540;6.0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
349;Tim Ream;us USA;DF;Fulham;36-027;1987;9;9;783;8.7;0.11;0.00;0.11;0.11;0.00;0.00;0.34;0.11;0.11;0.11;0.00;0.11;1.15;4.83;0.23;0.11;0.00;0.11;0.11;0.11;0.11;0.00;0.11;0.11;0.11;Matches
350;Nathan Redmond;eng ENG;MF,FW;Burnley;29-240;1994;5;0;80;0.9;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.22;0.22;2.22;0.00;11.1;0.00;0.00;0.00;0.00;0.00;0.00;0.26;0.26;0.00;0.26;Matches
351;Harrison Reed;eng ENG;MF;Fulham;28-278;1995;10;7;570;6.3;0.00;0.16;0.16;0.00;0.00;0.00;0.16;0.00;0.00;0.00;0.11;0.11;0.48;2.70;3.81;0.00;0.16;0.16;0.00;0.16;0.00;0.10;0.11;0.00;0.11;Matches
352;Sergio Reguilón;es ESP;DF;Manchester Utd;26-320;1996;3;2;180;2.0;0.00;0.00;0.00;0.00;0.00;0.00;0.50;0.00;0.00;0.00;0.10;0.10;1.00;2.50;3.50;0.00;0.00;0.00;0.00;0.00;0.00;0.09;0.09;0.00;0.09;Matches
353;Bobby Reid;jm JAM;FW;Fulham;30-272;1993;9;7;554;6.2;0.32;0.00;0.32;0.32;0.00;0.00;0.16;0.00;0.42;0.42;0.02;0.44;2.58;2.42;4.68;0.32;0.00;0.32;0.32;0.32;0.42;0.02;0.45;0.42;0.45;Matches
354;Declan Rice;eng ENG;MF;Arsenal;24-291;1999;10;10;842;9.4;0.21;0.11;0.32;0.21;0.00;0.00;0.00;0.00;0.09;0.09;0.17;0.26;1.38;6.38;1.60;0.21;0.11;0.32;0.21;0.32;0.08;0.17;0.26;0.08;0.26;Matches
355;Chris Richards;us USA;DF,MF;Crystal Palace;23-218;2000;3;1;109;1.2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
356;Richarlison;br BRA;FW;Tottenham;26-175;1997;10;7;538;6.0;0.17;0.50;0.67;0.17;0.00;0.00;0.33;0.00;0.45;0.45;0.18;0.63;1.67;3.00;9.33;0.17;0.50;0.67;0.17;0.67;0.46;0.18;0.64;0.46;0.64;Matches
357;Jaïro Riedewald;nl NED;MF,FW;Crystal Palace;27-053;1996;2;1;87;1.0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
358;Connor Roberts;wls WAL;DF;Burnley;28-039;1995;9;8;734;8.2;0.00;0.12;0.12;0.00;0.00;0.00;0.49;0.12;0.00;0.00;0.02;0.02;0.73;4.51;1.22;0.00;0.12;0.12;0.00;0.12;0.00;0.02;0.02;0.00;0.02;Matches
359;Andrew Robertson;sct SCO;DF;Liverpool;29-235;1994;8;8;720;8.0;0.13;0.00;0.13;0.13;0.00;0.00;0.13;0.00;0.06;0.06;0.13;0.19;2.38;6.13;3.75;0.12;0.00;0.12;0.12;0.12;0.06;0.13;0.19;0.06;0.19;Matches
360;Antonee Robinson;us USA;DF;Fulham;26-085;1997;9;9;810;9.0;0.00;0.00;0.00;0.00;0.00;0.00;0.22;0.00;0.01;0.01;0.08;0.09;2.67;3.44;3.78;0.00;0.00;0.00;0.00;0.00;0.01;0.08;0.09;0.01;0.09;Matches
361;Jack Robinson;eng ENG;DF;Sheffield Utd;30-061;1993;10;9;855;9.5;0.00;0.11;0.11;0.00;0.00;0.00;0.21;0.00;0.05;0.05;0.02;0.07;0.11;1.58;0.42;0.00;0.11;0.11;0.00;0.11;0.05;0.02;0.08;0.05;0.08;Matches
362;Rodri;es ESP;MF;Manchester City;27-132;1996;8;8;660;7.3;0.27;0.14;0.41;0.27;0.00;0.00;0.41;0.14;0.15;0.15;0.12;0.27;2.05;10.1;2.05;0.27;0.14;0.41;0.27;0.41;0.15;0.12;0.27;0.15;0.27;Matches
363;Jay Rodriguez;eng ENG;FW;Burnley;34-095;1989;5;0;117;1.3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.46;0.46;0.00;0.46;0.00;0.77;4.62;0.00;0.00;0.00;0.00;0.00;0.44;0.00;0.44;0.44;0.44;Matches
364;Mads Roerslev;dk DEN;DF;Brentford;24-130;1999;8;3;338;3.8;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.05;0.08;2.37;3.16;5.26;0.00;0.00;0.00;0.00;0.00;0.01;0.06;0.07;0.01;0.07;Matches
