id,name,now_cost,position,team,red_cards,transfers_in_event,assists,saves,transfers_out,bonus,clean_sheets_per_90,cost_change_start,cost_change_event,starts,corners_and_indirect_freekicks_order,direct_freekicks_order,selected_rank_type,expected_goal_involvements_per_90,now_cost_rank,goals_conceded_per_90,ict_index_rank_type,selected_rank,form_rank_type,creativity_rank_type,ep_this,cost_change_event_fall,points_per_game_rank,ict_index,threat,ict_index_rank,now_cost_rank_type,expected_assists_per_90,influence_rank_type,expected_goals_conceded,chance_of_playing_this_round,penalties_missed,web_name,selected_by_percent,expected_goals_per_90,chance_of_playing_next_round,saves_per_90,points_per_game_rank_type,clean_sheets,threat_rank_type,own_goals,expected_goals,news,news_added,form_rank,penalties_order,value_form,transfers_in,form,creativity,value_season,bps,goals_conceded,yellow_cards,goals_scored,expected_goal_involvements,influence_rank,creativity_rank,points_per_game,influence,minutes,penalties_saved,status,expected_assists,transfers_out_event,starts_per_90,threat_rank,cost_change_start_fall,dreamteam_count,in_dreamteam,ep_next,event_points,total_points,expected_goals_conceded_per_90
326,Carlton Morris,53,FWD,Luton,0,5887,1,0,809537,7,0.09,-2,-1,12,,,16,0.41,136,1.87,11,94,24,14,1.0,1,78,56.5,306.0,51,37,0.06,16,24.38,,0,Morris,3.6,0.35,,0.0,13,1,10,0,3.90,,,164,1.0,0.4,1024013,2.0,108.3,8.5,119,21,1,3,4.52,144,120,3.8,153.0,1010,0,a,0.62,11826,1.07,23,2,2,False,1.5,2,45,2.17
327,Admiral Muskwe,45,FWD,Luton,0,0,0,0,17141,0,0.0,0,0,0,,,64,0.0,373,0.0,61,440,59,62,0.0,0,631,0.0,0.0,625,65,0.0,59,0.00,0.0,0,Muskwe,0.1,0.0,0.0,0.0,65,0,61,0,0.00,Season-long loan to Exeter City,2023-09-01T14:47:17.297340Z,580,,0.0,1383,0.0,0.0,0.0,0,0,0,0,0.00,619,615,0.0,0.0,0,0,u,0.00,87,0.0,603,0,0,False,0.0,0,0,0.0
328,Chiedozie Ogbene,49,FWD,Luton,0,1233,0,0,13799,2,0.12,-1,0,8,,,53,0.27,254,1.66,18,335,14,7,2.5,0,218,38.0,134.0,108,53,0.17,21,18.77,,0,Ogbene,0.2,0.1,,0.0,32,1,29,0,0.87,,,73,,0.7,13883,3.5,128.3,5.3,118,14,0,1,2.31,199,93,2.2,116.8,759,0,a,1.44,520,0.95,82,1,0,False,3.0,2,26,2.23
329,Fred Onyedinma,50,MID,Luton,0,0,0,0,198,0,0.0,0,0,0,,,314,0.0,184,0.0,307,735,295,306,0.0,0,716,0.0,0.0,716,113,0.0,307,0.00,0.0,0,Onyedinma,0.0,0.0,0.0,0.0,307,0,305,0,0.00,Season long loan to Rotherham,2023-07-31T07:05:08.472622Z,694,,0.0,0,0.0,0.0,0.0,0,0,0,0,0.00,716,714,0.0,0.0,0,0,u,0.00,1,0.0,711,0,0,False,0.0,0,0,0.0
330,Gabriel Osho,44,DEF,Luton,0,92,0,0,1837,0,0.0,-1,0,3,,,223,0.0,507,1.53,136,649,81,148,0.0,0,325,4.8,2.0,379,107,0.0,119,7.13,100.0,0,Osho,0.0,0.0,100.0,0.0,109,0,145,0,0.00,,2023-08-04T11:00:04.319102Z,246,,0.2,983,1.0,1.6,0.9,25,4,0,0,0.00,313,402,1.3,44.6,236,0,a,0.00,20,1.14,396,1,0,False,0.5,2,4,2.72
331,Aribim Pepple,45,FWD,Luton,0,0,0,0,16184,0,0.0,0,0,0,,,67,0.0,434,0.0,74,456,72,74,0.0,0,667,0.0,0.0,664,79,0.0,72,0.00,0.0,0,Pepple,0.1,0.0,0.0,0.0,76,0,74,0,0.00,Season long loan to Bromley,2023-08-21T08:33:51.407917Z,622,,0.0,838,0.0,0.0,0.0,0,0,0,0,0.00,658,653,0.0,0.0,0,0,u,0.00,79,0.0,644,0,0,False,0.0,0,0,0.0
332,Dion Pereira,44,MID,Luton,0,0,0,0,16390,0,0.0,-1,0,0,,,164,0.0,532,0.0,234,485,204,230,0.0,0,611,0.0,0.0,605,295,0.0,229,0.00,0.0,0,Pereira,0.1,0.0,0.0,0.0,238,0,224,0,0.00,Season-long loan to Sutton United,2023-09-01T14:46:43.900668Z,555,,0.0,1744,0.0,0.0,0.0,0,0,0,0,0.00,598,589,0.0,0.0,0,0,u,0.00,85,0.0,575,1,0,False,0.0,0,0,0.0
333,Dan Potts,39,DEF,Luton,0,174,0,0,7139,0,0.0,-1,0,0,,,181,0.0,720,0.0,162,467,122,160,0.0,0,473,0.0,0.0,468,229,0.0,163,0.00,0.0,0,Potts,0.1,0.0,0.0,0.0,159,0,150,0,0.00,Ankle injury - Expected back 25 Nov,2023-08-06T23:30:05.828555Z,391,,0.0,4317,0.0,0.0,0.0,0,0,0,0,0.00,462,444,0.0,0.0,0,0,i,0.00,162,0.0,419,1,0,False,0.0,0,0,0.0
334,Glen Rea,44,MID,Luton,0,0,0,0,4883,0,0.0,-1,0,0,,,216,0.0,495,0.0,227,579,196,223,0.0,0,594,0.0,0.0,589,284,0.0,222,0.00,0.0,0,Rea,0.0,0.0,0.0,0.0,231,0,217,0,0.00,Released from contract,2023-09-03T20:07:55.555731Z,533,,0.0,883,0.0,0.0,0.0,0,0,0,0,0.00,582,572,0.0,0.0,0,0,u,0.00,36,0.0,558,1,0,False,0.0,0,0,0.0
335,James Shea,43,GKP,Luton,0,49,0,0,10078,0,0.0,-2,0,0,,,55,0.0,567,0.0,77,373,76,62,-1.0,0,573,0.0,0.0,566,29,0.0,77,0.00,,0,Shea,0.1,0.0,,0.0,77,0,56,0,0.00,,,500,,0.0,1481,0.0,0.0,0.0,0,0,0,0,0.00,560,545,0.0,0.0,0,0,a,0.00,85,0.0,526,2,0,False,-0.5,0,0,0.0
336,Joe Taylor,45,FWD,Luton,0,0,0,0,23273,0,0.0,0,0,0,,,62,0.0,397,0.0,65,417,63,66,0.0,0,641,0.0,0.0,635,69,0.0,63,0.00,0.0,0,Taylor,0.1,0.0,0.0,0.0,69,0,65,0,0.00,Season long loan to Colchester United,2023-08-11T10:53:00.375635Z,591,,0.0,0,0.0,0.0,0.0,0,0,0,0,0.00,629,625,0.0,0.0,0,0,u,0.00,102,0.0,614,0,0,False,0.0,0,0,0.0
337,Elliot Thorpe,45,MID,Luton,0,0,0,0,564,0,0.0,0,0,0,,,297,0.0,392,0.0,250,710,222,247,0.0,0,639,0.0,0.0,633,228,0.0,246,0.00,0.0,0,Thorpe,0.0,0.0,0.0,0.0,254,0,242,0,0.00,Joined Shrewsbury Town on a season-long loan,2023-07-13T12:00:04.224388Z,589,,0.0,14,0.0,0.0,0.0,0,0,0,0,0.00,627,623,0.0,0.0,0,0,u,0.00,5,0.0,612,0,0,False,0.0,0,0,0.0
338,Jack Walton,40,GKP,Luton,0,0,0,0,690,0,0.0,0,0,0,,,81,0.0,644,0.0,57,672,56,41,0.0,0,515,0.0,0.0,511,49,0.0,57,0.00,0.0,0,Walton,0.0,0.0,0.0,0.0,57,0,34,0,0.00,Joined Dundee United on a season-long loan - Expected back 01 Jul,2023-07-11T09:00:04.234257Z,438,,0.0,0,0.0,0.0,0.0,0,0,0,0,0.00,504,489,0.0,0.0,0,0,u,0.00,8,0.0,465,0,0,False,0.0,0,0,0.0
339,Louie Watson,44,MID,Luton,0,0,0,0,26403,0,0.0,-1,0,0,,,110,0.0,521,0.0,229,353,199,225,0.0,0,604,0.0,0.0,598,290,0.0,224,0.00,0.0,0,Watson,0.1,0.0,0.0,0.0,233,0,219,0,0.00,Season-long loan to Charlton,2023-09-01T21:49:21.681463Z,548,,0.0,3951,0.0,0.0,0.0,0,0,0,0,0.00,591,582,0.0,0.0,0,0,u,0.00,217,0.0,568,1,0,False,0.0,0,0,0.0
340,Cauley Woodrow,44,FWD,Luton,0,384,0,0,101446,0,0.0,-1,0,0,,,29,1.28,484,2.43,42,182,45,37,0.0,0,377,10.6,32.0,324,89,0.54,39,1.60,0.0,0,Woodrow,1.0,0.74,0.0,0.0,44,0,45,0,0.61,Calf injury - Expected back 02 Dec,2023-11-10T17:30:09.674003Z,351,3.0,0.0,121334,0.2,49.3,1.6,29,2,0,0,1.05,362,229,1.0,26.0,74,0,i,0.44,4426,0.0,249,1,0,False,0.0,0,7,1.95
